saps,fecha,servicio,turno,consulta_cantidad,rango_etario,sexo,detalle
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,5.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,8.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,15.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,14.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,2.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,18.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,10.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,10.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,8.0,40 - 69 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1.0,>= 70 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,6.0,5 - 14 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,3.0,5 - 14 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1.0,15 - 19 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,5.0,20 - 39 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,3.0,20 - 39 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,2.0,20 - 39 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1.0,1 - 4 AÑOS,F,APLICACION DE FLUOR
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,2.0,1 - 4 AÑOS,M,APLICACION DE FLUOR
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,13.0,5 - 14 AÑOS,F,APLICACION DE FLUOR
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,9.0,5 - 14 AÑOS,M,APLICACION DE FLUOR
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1.0,5 - 14 AÑOS,F,INACTIVACION DE CARIES
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1.0,< 1 AÑO,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,5.0,1 - 4 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,8.0,1 - 4 AÑOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,13.0,5 - 14 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,9.0,5 - 14 AÑOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,11.0,20 - 39 AÑOS,F,EXTRACCION DENTARIA
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,6.0,20 - 39 AÑOS,M,EXTRACCION DENTARIA
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,10.0,40 - 69 AÑOS,F,EXTRACCION DENTARIA
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,8.0,40 - 69 AÑOS,M,EXTRACCION DENTARIA
DR. BENJAMIN SERRANO,2020-02-01,ODONTOLOGIA,TARDE,1.0,>= 70 AÑOS,F,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,M,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2.0,15 - 19 AÑOS,F,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,7.0,20 - 39 AÑOS,F,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4.0,20 - 39 AÑOS,M,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4.0,40 - 69 AÑOS,F,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3.0,40 - 69 AÑOS,M,EXTRACCION DENTARIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,5.0,5 - 14 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,6.0,15 - 19 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,9.0,20 - 39 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4.0,40 - 69 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,1 - 4 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4.0,20 - 39 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,1 - 4 AÑOS,M,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,5.0,5 - 14 AÑOS,F,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3.0,5 - 14 AÑOS,M,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4.0,15 - 19 AÑOS,M,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,F,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,M,INACTIVACION DE CARIES
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,9.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2.0,5 - 14 AÑOS,F,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,8.0,20 - 39 AÑOS,F,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,M,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,3.0,40 - 69 AÑOS,F,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,5.0,40 - 69 AÑOS,M,URGENCIA
DR. ANIBAL MALVIDO,2020-02-01,ODONTOLOGIA,MANANA,4.0,40 - 69 AÑOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,>= 70 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,1 - 4 AÑOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,4.0,15 - 19 AÑOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3.0,15 - 19 AÑOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3.0,20 - 39 AÑOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3.0,40 - 69 AÑOS,F,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,M,URGENCIA
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,3.0,5 - 14 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,11.0,15 - 19 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,6.0,15 - 19 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,4.0,20 - 39 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,40 - 69 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,20 - 39 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,>= 70 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,APLICACION DE FLUOR
DR. SUSSINI,2020-02-01,ODONTOLOGIA,MANANA,2.0,15 - 19 AÑOS,M,APLICACION DE FLUOR
